1,AK,1
2,AK,2
3,AK,3
4,AK,4
6,AL,1
7,AL,2
8,AL,3
9,AR,1
10,AR,2
11,AR,3
12,AR,4
13,AZ,1
14,AZ,2
15,AZ,3
16,AZ,4
17,CA,1
18,CA,2
19,CA,3
20,CA,4
21,CA,1
22,CA,2
23,CO,1
24,CO,2
25,CO,3
26,CO,4
27,CO,V
29,CT,1
30,CT,2
31,CT,3
32,CT I
33,DC,1
34,DC,1
35,DE,1
36,DE,3
37,DE,5
38,DE 1
39,FL,1
40,FL,2
42,GA,1
43,GA,2
44,GA,3
45,GA,4
46,GA,1
47,GA,2
48,GA,3
49,HI,2
50,HI,3
51,1A,1
52,1A,2
53,1A,3
54,1A,4
55,1A,1
56,1A,2
57,1D,2
58,1D,3
59,1L,1
60,1L,2
61,1L,1
62,1L,2
63,1N,1
64,1N,2
65,1N,3
66,1N,1
67,1N,2
68,KS,1
69,KS,2
70,KS,3
71,KS,4
72,KY,1
73,KY,2
74,KY,3
75,KY,4
76,KY,1
77,LA,1
78,LA,2
79,LA,3
80,MA,1
81,MA,2
82,MA,3
83,MA,1
84,MA,2
86,MD,1
87,MD,2
88,MD,3
92,MI,1
93,MI,2
94,MI,3
95,MI,4
96,MI,1
97,MI,2
98,MN,1
99,MN,2
100,MN,3
101,MN,4
102,MN,1
103,MN,2
104,MO,1
105,MO I
106,MO,2
107,MO,3
108,MO,4
109,MS,1
110,MS,2
111,MS,3
112,MS,4
118,NC,1
119,NC,2
120,NC,3
121,ND,1
122,ND,2
123,ND,3
124,ND,4
125,ND,V
126,NE,1
127,NE,2
128,NE,3
129,NE,4
130,NE,2
131,NH,1
132,NH,2
133,NH,3
134,NH,4
135,NH,1
136,NH,2
137,NH,3
138,NH,4
139,NJ,1
140,NJ,2
141,NJ,1
142,NJ,2
143,NM,1
144,NM,2
145,NM,3
146,NM,4
147,NV,1
148,NV,2
149,NY,1
150,NY,2
151,NY,3
152,NY,1
153,NY,2
156,OH,1
157,OH,2
158,OH,3
159,OH,1
160,OH,2
161,OK,1
162,OK,2
163,OK,3
164,OK,4
165,OK,1
166,OR,1
167,OR,2
168,OR,3
169,OR,4
170,PA,1
171,PA,2
172,PA,3
173,PA,4
174,PA,1
175,RI,1
176,SC,1
177,SC,2
178,SC,3
183,TN,1
184,TN,2
185,TN,3
187,TX,1
188,TX,2
189,TX,3
190,TX,4
191,UT,1
192,UT,2
193,UT,3
194,UT,4
195,UT,V
196,VA,1
197,VA,2
198,VA,3
199,VT,1
200,WA,1
201,WA,2
202,WA,3
203,WA,4
204,WA,V
205,WA,1
206,WA,2
207,WA,3
208,WI,1
209,WI,2
210,WI,3
211,WI,4
213,WV,1
214,WV,2
215,WV,3
216,WV,4
217,WY,RTC
218,WY,ATH
219,WY,CTH
220,WY,TRF
